actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,needs_more_evidence; defer_decision,2025-08-01-2025-08-31,Legionnaires' disease,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,New York City,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,"conflicting claims review - review_claim_corroboration_conflict_corr_event_002 - NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101...","NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened",https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_a9306f6e1687_001_observation; claim_rec_src_search_743df961a25b_001_cases_unspecified; claim_rec_src_search_743df961a25b_001_deaths; claim_rec_src_search_743df961a25b_002_deaths; claim_rec_src_search_b74bccc017c5_001_cases_confirmed; claim_rec_src_search_b74bccc017c5_002_deaths; claim_rec_src_search_b74bccc017c5_003_hospitalizations; claim_rec_src_search_5b7e6dfb326c_001_cases_unspecified; claim_rec_src_search_5b7e6dfb326c_001_deaths; claim_rec_src_search_5b7e6dfb326c_001_hospitalizations; claim_rec_src_search_8e86f33ccf00_004_cases_confirmed; claim_rec_src_search_8e86f33ccf00_004_deaths; claim_rec_src_search_8e86f33ccf00_005_deaths; claim_rec_src_search_8e86f33ccf00_004_hospitalizations; claim_rec_src_search_8e86f33ccf00_006_hospitalizations; src_search_743df961a25b; src_search_b74bccc017c5; src_search_a9306f6e1687; src_search_5b7e6dfb326c; src_search_8e86f33ccf00; corr_event_002,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,needs_more_evidence; defer_decision,2025-08-01-2025-08-31,Legionnaires' disease,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,New York City,P0_critical,2,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_003 - Legionnaires' disease outbreak: Sixth person dies in Leg...,Legionnaires' disease outbreak: Sixth person dies in Legionnaires' disease outbreak in Harlem as cases rise to 111 - ABC7 New York,https://abc7ny.com/post/legionnaires-disease-outbreak-sixth-person-dies-harlem-cases-rise-111/17607821,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_fd4c39b5e976_001_cases_confirmed; claim_rec_src_search_fd4c39b5e976_001_deaths; claim_rec_src_search_fd4c39b5e976_002_deaths; claim_rec_src_search_950d652e6d2a_001_observation; claim_rec_src_search_8e86f33ccf00_001_cases_confirmed; claim_rec_src_search_8e86f33ccf00_002_deaths; claim_rec_src_search_8e86f33ccf00_003_hospitalizations; claim_rec_src_search_f72980cd3634_001_cases_unspecified; claim_rec_src_search_f72980cd3634_001_deaths; claim_rec_src_search_f72980cd3634_002_deaths; claim_rec_src_search_b74bccc017c5_004_cases_confirmed; claim_rec_src_search_b74bccc017c5_005_deaths; claim_rec_src_search_b74bccc017c5_006_hospitalizations; claim_rec_src_search_1596aec16d67_001_cases_unspecified; claim_rec_src_search_1596aec16d67_001_deaths; claim_rec_src_search_1596aec16d67_001_hospitalizations; claim_rec_src_search_1596aec16d67_002_cases_unspecified; claim_rec_src_search_b4917c664acb_001_cases_confirmed; claim_rec_src_search_b4917c664acb_002_hospitalizations; claim_rec_src_search_b4917c664acb_003_deaths; claim_rec_src_search_743df961a25b_003_cases_unspecified; claim_rec_src_search_743df961a25b_003_deaths; claim_rec_src_search_743df961a25b_004_deaths; claim_rec_src_search_8ca119dddbda_001_cases_unspecified; claim_rec_src_search_caf9b786a60e_005_cases_unspecified; claim_rec_src_search_8ca119dddbda_001_deaths; claim_rec_src_search_caf9b786a60e_005_deaths; claim_rec_src_search_caf9b786a60e_007_deaths; claim_rec_src_search_caf9b786a60e_005_hospitalizations; claim_rec_src_search_caf9b786a60e_006_hospitalizations; claim_rec_src_search_caf9b786a60e_008_hospitalizations; src_search_8e86f33ccf00; src_search_f72980cd3634; src_search_b74bccc017c5; src_search_fd4c39b5e976; src_search_1596aec16d67; src_search_950d652e6d2a; src_search_b4917c664acb; src_search_743df961a25b; src_search_8ca119dddbda; src_search_caf9b786a60e; corr_event_003,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-31,Legionnaires' disease,"[Skip to main content](https://www.bmj.com/content/390/bmj.r1785#main-content) Intended for healthcare professionals * [Subscribe](https://www.bmj.com/us/subscribe) * [My Account](https://www.bmj.com/content/390/bmj.r1785#) * [My email alerts](https://myaccount.bmj.com/myaccount/account/hw-registration.html) * [BMA member login](https://bmjverification.bma.org.uk/validate/userdetails?url=https://www.bmj.com/content/390/bmj.r1785?sso=) [Login](https://www.bmj.com/content/390/bmj.r1785#) * Username * Password * [Forgot your log in details?](https://www.bmj.com/user/password ""Retrieve your credentials."") [Need to activate](https://journals.bmj.com/cgi/activate/basic) * * * [BMA Member Log In](https://bmjverification.bma.org.uk/validate/userdetails?url=https%3A//www.bmj.com/content/390/bmj....",primary_case_dataset_blocker,record_linking,New York,P0_critical,3,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_linking_event_003 - Legionnaires' outbreak kills five and infects over 100 in New York,Legionnaires' outbreak kills five and infects over 100 in New York,https://www.bmj.com/content/390/bmj.r1785,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_72af26a33522_004,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-31,Legionnaires' disease,"[Skip to main content](https://www.bmj.com/content/390/bmj.r1785#main-content) Intended for healthcare professionals * [Subscribe](https://www.bmj.com/us/subscribe) * [My Account](https://www.bmj.com/content/390/bmj.r1785#) * [My email alerts](https://myaccount.bmj.com/myaccount/account/hw-registration.html) * [BMA member login](https://bmjverification.bma.org.uk/validate/userdetails?url=https://www.bmj.com/content/390/bmj.r1785?sso=) [Login](https://www.bmj.com/content/390/bmj.r1785#) * Username * Password * [Forgot your log in details?](https://www.bmj.com/user/password ""Retrieve your credentials."") [Need to activate](https://journals.bmj.com/cgi/activate/basic) * * * [BMA Member Log In](https://bmjverification.bma.org.uk/validate/userdetails?url=https%3A//www.bmj.com/content/390/bmj....",primary_case_dataset_blocker,record_normalization,New York,P0_critical,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_normalization_rec_src_search_72af26a33522_004 - Legionnaires' outbreak kills five and infects over...,Legionnaires' outbreak kills five and infects over 100 in New York,https://www.bmj.com/content/390/bmj.r1785,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_72af26a33522_004,record,This item can change whether a record is eligible for the primary case dataset.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-08-01-2025-08-31,Legionnaires' disease,"[Skip to content](#main) ![Goldberg Segalla logo](https://www.goldbergsegalla.com/app/uploads/2026/04/GS-Anniversary-Tagline-Horizonal-Logo-gray-and-red-1-1.svg) ![](https://www.goldbergsegalla.com/app/uploads/2023/07/NewsKnowledge_HEAD.jpg) # News & Knowledge 2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation [Home](/) News & Knowledge Knowledge # 2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation August 27, 2025 [Andrew J. Scholz](https://www.goldbergsegalla.com/our-team/andrew-j-scholz/) [Michael D. Shalhoub](https://www.goldbergsegalla.com/our-team/michael-d-shalhoub/) [Karen Cullinane](https://www.goldbergsegalla.com/our-team/karen-cullinane/) ## **Key Takeaways:** * ### The New York Cit...",validation_conflict_review,anomaly,New York City,P0_critical,5,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_013 - 2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Heal...,2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation - Goldberg Segalla,https://www.goldbergsegalla.com/news-and-knowledge/knowledge/2025-legionnaires-disease-community-cluster-in-new-york-city-ongoing-public-health-investigation,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_b74bccc017c5; event_014; anom_013; val_result_057,anomaly,This review item requires human inspection before it should affect downstream interpretation.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-08-01-2025-08-31,Legionnaires' disease,![vaccineadvisor logo](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/logos/vaccineadvisor.svg) ![HMN logo](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/HMN-logo-1line.svg) ![facebook share](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/facebook-social-share.svg) ![twitter share](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/twitter-social-share-x.svg) ![linkedin share](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/linkedin-social-share.svg) ![email](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/email-social-share.svg) ![print](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/...,validation_conflict_review,anomaly,New York City,P0_critical,6,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,"validation conflict review - review_anomaly_anom_014 - NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened","NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened",https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_743df961a25b; event_023; anom_014; val_result_067,anomaly,This review item requires human inspection before it should affect downstream interpretation.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-04,Legionnaires' disease,"![NYC](/assets/home/images/global/nyc_white.png) ![](/assets/home/images/global/upper-header-divider.gif) ![](/assets/home/images/global/upper-header-divider.gif) ![NYC Health](/assets/doh/images/content/header/logo.png) ![Language](/assets/home/images/global/language.gif) ## Promoting and Protecting the City's Health ![Print icon](/assets/home/images/global/print.png) # New York City Health Department Provides Update on Community Cluster of Legionnaires' Disease in Central Harlem *Fifty-eight people have been diagnosed with Legionnaires’ disease since July 25, 2025 and two people have died.* People who have been in the affected area since late July who have flu-like symptoms, fever, cough, or difficulty breathing should seek immediate medical attention **August 4, 2025 —** Today, the N...",validation_conflict_review,duplicate_event_clustering,"New York City, New York",P1_high,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_016 - NYC Health Department Provides Update on Community Cluster of Legionnaires' Dis...,NYC Health Department Provides Update on Community Cluster of Legionnaires' Disease in Central Harlem - NYC Health,https://www.nyc.gov/site/doh/about/press/pr2025/nyc-health-provides-second-legionnaires-cluster-update.page,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_f72980cd3634_001; rec_src_search_f72980cd3634_002; event_016,record,This review item requires human inspection before it should affect downstream interpretation.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-07-30,Legionnaires' disease,"![NYC](/assets/home/images/global/nyc_white.png) ![](/assets/home/images/global/upper-header-divider.gif) ![](/assets/home/images/global/upper-header-divider.gif) ![NYC Health](/assets/doh/images/content/header/logo.png) ![Language](/assets/home/images/global/language.gif) ## Promoting and Protecting the City's Health ![Print icon](/assets/home/images/global/print.png) # New York City Health Department Provides Update on Legionnaires' Disease Community Cluster in Central Harlem *Twenty-two New Yorkers with Legionnaires’ Disease have been identified as part of the cluster, one death has occurred* People who have been in the affected area since late July with flu-like symptoms, fever, cough, or difficulty breathing should seek immediate medical attention **July 30, 2025 —**The New York Ci...",validation_conflict_review,duplicate_event_clustering,"New York City, New York",P1_high,8,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_017 - NYC Health Department Provides Update on Legionnaires' Disease Community Cluste...,NYC Health Department Provides Update on Legionnaires' Disease Community Cluster in Central Harlem - NYC Health,https://www.nyc.gov/site/doh/about/press/pr2025/nyc-health-provides-update-on-legionnaires-cluster.page,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_fd4c39b5e976_001; rec_src_search_fd4c39b5e976_002; event_017,record,This review item requires human inspection before it should affect downstream interpretation.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-15,Legionnaires' disease,"![](https://nyshcp.org/wp-content/uploads/2024/04/facebook.png) ![](https://nyshcp.org/wp-content/uploads/2024/04/twitter.png) ![](https://nyshcp.org/wp-content/uploads/2024/04/linkedin.png) ![](https://nyshcp.org/wp-content/uploads/2024/04/HCP-400px.png ""HCP-400px"") Search … Search Close ![](https://nyshcp.org/wp-content/uploads/2024/04/search.png ""search"") # NY State EP Alert 8.15.25 | Legionnaires’ Disease Update by [Dena Collins](https://www.nyshcp.org/author/hcpdena/ ""Posts by Dena Collins"") | Aug 15, 2025 | [EP Alerts](https://www.nyshcp.org/category/ep-alerts/) ### NY State EP Alert 8.15.2025|Legionnaires’ Disease Update The New York City Department of Health and Mental Hygiene (DOHMH) continues to investigate a cluster of [Legionnaires’ Disease in a Central Harlem](https://www.n...",validation_conflict_review,duplicate_event_clustering,"New York City, New York",P1_high,9,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_018 - NY State EP Alert 8.15.25 | Legionnaires' Disease Update,NY State EP Alert 8.15.25 | Legionnaires' Disease Update,https://www.nyshcp.org/ny-state-ep-alert-8-15-25-legionnaires-disease-update,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_b4917c664acb_001; rec_src_search_b4917c664acb_002; rec_src_search_b4917c664acb_003; event_018,record,This review item requires human inspection before it should affect downstream interpretation.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-31,Legionnaires' disease,"HealthDay News — A Legionnaires’ disease outbreak in Central Harlem has now caused four deaths and sickened 101 people, New York City health officials confirmed.",validation_conflict_review,duplicate_event_clustering,New York City,P1_high,10,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,"validation conflict review - review_duplicate_event_022 - NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened","NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened",https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_743df961a25b_001; rec_src_search_743df961a25b_002; event_022,record,This review item requires human inspection before it should affect downstream interpretation.
